,Kichwa,Spanish,Etiqueta
1518,rakinchi,submúltiplo,neutro
1519,rakiri,parte-sección,neutro
1520,rakirikuska,partes,neutro
1521,rakirikyupay,numerador,neutro
1522,raku,grueso,neutro
1523,raku chunchulli,intestino grueso,neutro
1524,raku kushma,abrigo,positivo
1525,raku purutu,porotón,neutro
1526,rakuyay,grosor o espesor,neutro
1527,rantimpana,intercambiar,positivo
1528,rantimpayni,reciprocidad,positivo
1529,rantina,comprar,neutro
1530,rantinpa pankakuna,documentos comerciales,neutro
1531,rantinpak,reciprocidad,positivo
1532,rantinpaktak,conmuntativa,neutro
1533,rantinpanka,factura,neutro
1534,rantinpankaku,tarjeta de crédito,neutro
1535,ranziyu,gringos-ingleses,neutro
1536,ranziyukunapak mamallakta,país anglosajona,neutro
1537,rasu,sólido-agua,positivo
1538,rasuyay,solidificación-agua,positivo
1539,ratata,fuego-energía,positivo
1540,ratata allpa,pólvora,negativo
1541,ratata urku,fuego del volcán,negativo
1542,rawmay,podar,neutro
1543,rawrana,arder,neutro
1544,rawranay kaspikuchuna kapak,caballero de la ardiente espada,neutro
1545,rayku,ocasion,neutro
1546,raymi,junio-fiesta,neutro
1547,raymi killa,junio,neutro
1548,razu,nevado,neutro
1549,rikcha,semejanza,positivo
1550,rikcha,semejanza-congruencia,positivo
1551,rikcha kutirik,factor común,neutro
1552,rikchachani,valor semejante,positivo
1553,rikchak,foto,positivo
1554,rikchak,foto-fotografía-semejante,positivo
1555,rikchakmaytu,carrete de fotos-rollo de pelicula para fotos,positivo
1556,rikchay/suyu,figura,neutro
1557,rikchayachiy,genética,positivo
1558,rikra,brazo,neutro
1559,rikra uku,axila,neutro
1560,rikramuku,codo,neutro
1561,riksi,conocido,positivo
1562,riksichik yuyay,presentación,neutro
1563,riksichikyuyay,presentación,neutro
1564,riksina,conocer,positivo
1565,riksiri,identidad-persona,positivo
1566,riksishka,conocido,neutro
1567,rikuchi,manifestación,neutro
1568,rikuchik ruka,dedo índice,neutro
1569,rikuchikkuna,indicadores,neutro
1570,rikuchina,exponer,neutro
1571,rikuchishuyu,pictograma o icono,neutro
1572,rikuchiy,índice,neutro
1573,rikuna,mirar,neutro
1574,rikurayana,controlar,positivo
1575,rikurik,vista-que se ha visto,neutro
1576,rikuypacha,paisaje,positivo
1577,rimak,hablante,neutro
1578,rimana,relatar-hablar,neutro
1579,rimanakuna,dialogar,positivo
1580,rimarikuna,expresiones-conversaciones,neutro
1581,rimayachakuy,seminario,neutro
1582,rimaykachay,discurso,neutro
1583,rimaytaki,copla,neutro
1584,rinri,oreja-oído,neutro
1585,rinri kuru,caracol del oído,neutro
1586,rinrina,arete,neutro
1587,ripana,ir,neutro
1588,ripankalli,boleto o ticket de avion-tren-autobus,neutro
1589,ritimuna,energía,positivo
1590,ritirina kuska,lugares energéticos,positivo
1591,ritiwayra,energía eòlica,positivo
1592,ritiy,energía,positivo
1593,ruka,dedo,neutro
1594,ruku,viejo,neutro
1595,ruku yaya,anciano,neutro
1596,rukutu uchu,ají picante,neutro
1597,rumiyashka,fósil,neutro
1598,runa,ser humano,positivo
1599,runakak,ser humano,positivo
1600,runapachakay,humanidad,positivo
1601,runapak aycha,el cuerpo humano,positivo
1602,runashina,personaje,neutro
1603,runayay pacha yuyay,evolución del hombre,positivo
1604,runpaki,pelota de futbol,neutro
1605,ruparishka,quemadura,negativo
1606,rupariykuna,combustión,neutro
1607,rurakay,deber hacer-obligacion,neutro
1608,rurana,aplicar,neutro
1609,rurarayana,ejercitar,positivo
1610,rurarayana,ejercitar,positivo
1611,rurarayay,ejercitar,positivo
1612,rurashkayuyay, antecedente,negativo
1613,ruray,función-edificar-construir,positivo
1614,ruray paktachi,rol función,neutro
1615,ruraykatichiy,programa agenda,neutro
1616,rurayri ñan,proceso operativo,neutro
1617,rurukuna,frutas,neutro
1618,ruwana,poncho,neutro
1619,mayu,río,neutro
1620,sacha,selva,neutro
1621,sacha wiwa,animal silvestre,neutro
1622,sachana,forestar,negativo
1623,sachayu,silvestre,neutro
1624,sakina, abandonar-dejar,negativo
1625,sakiriy, quedarse,neutro
1626,sakishka, abandonado-dejado,negativo
1627,sakma, bofetada,negativo
1628,sakmay, abofetear,negativo
1629,sakra, brujo,neutro
1630,sakrachiy, hacer brujería,negativo
1631,sakray, embrujar-hechizar-echar maleficios,negativo
1632,saksana, hartar,negativo
1633,salliy, azufre,neutro
1634,samana, descansar,positivo
1635,samay, aliento- respiración,positivo
1636,samaytu, aura,neutro
1637,sami, variedad-clase,neutro
1638,saminay, herencia,neutro
1639,saminchashka, bendito,neutro
1640,saminchay, bendecir viene de la tradición de la cosecha,positivo
1641,samiyachiy, clasificación,neutro
1642,sanka, cerco- excavaciòn,neutro
1643,sanku, espeso,neutro
1644,sapalla, viudo- viuda,negativo
1645,sapalla nipapurachi, correspondencia biunívoca,neutro
1646,sapalla rikcha kutirik, factor común monomio,neutro
1647,sapalla shuti, sustantivo individual,neutro
1648,sapallu, sapallo,neutro
1649,sapan, cada quien - cada uno,neutro
1650,sapan kawsaykuna, racismo,negativo
1651,sapansami chain, población estadística,neutro
1652,sapansami chani, población estadística,neutro
1653,sapapurachi, inyectiva,neutro
1654,sapi, raiz,neutro
1655,sapsi, características,neutro
1656,sapsi, característica,neutro
1657,sapsikuna, características,neutro
1658,sara, maíz,neutro
1659,saran, rendija,neutro
1660,sarun, anteayer,neutro
1661,sasa yuyay, oración compuesta,neutro
1662,sasa yuyay, oración compuesta,neutro
1663,sasak, dificil,negativo
1664,sasamanta, dificilmente,negativo
1665,sasasapa, dificultad,negativo
1666,sasi, noviembre,negativo
1667,sasi killa, noviembre,neutro
1668,satina, meter,neutro
1669,satirishka, metido- metiche,negativo
1670,sawarina warmi, novia- prometida,positivo
1671,saylla, hora,neutro
1672,sayllachik, horario,neutro
1673,sayllachikancha, husos horarios,neutro
1674,sayni, lila,neutro
1675,saywa, lindero- límite,neutro
1676,sayway, limitacion,neutro
1677,sañukata, tejado,neutro
1678,shanu, cafécolor,neutro
1679,shayak, vertical,neutro
1680,shaykushka, cansado,negativo
1681,shayri, tabaco,neutro
1682,shayriyay, tabaquismo,neutro
1683,shañu, caféplanta,neutro
1684,shikra, bolso-cartera,neutro
1685,shikshi, comezón,neutro
1686,shimi, boca,neutro
1687,shimi kamachik, gramática,neutro
1688,shimi kara, labio,neutro
1689,shimi kiru, diente,neutro
1690,shimi millma, bigote barba,neutro
1691,shimiki, sílaba,neutro
1692,shimiku, morfema,neutro
1693,shimiku yuyay awariy, morfosintaxis,neutro
1694,shimikukancha yachay, morfología,neutro
1695,shimininakuy, prometerse mutuamente,neutro
1696,shiminishka, promesa,positivo
1697,shiminiy, prometer,positivo
1698,shimisapa, chismoso,positivo
1699,shimiyari, relación,positivo
1700,shimiyuk kamu, diccionario,neutro
1701,shina, ejemplo,neutro
1702,shina imallichik, adverbio de modo,neutro
1703,shinalla, parecido a,neutro
1704,shinashinalla, sencillo,positivo
1705,shipir, cuña,neutro
1706,shiray, droga,negativo
1707,shitana, arrojar-tirar,neutro
1708,shiwi, anillo,neutro
1709,shuk, uno- 1,neutro
1710,shuk patay paktachani, ecuación de primer grado,neutro
1711,shukkuna, unos,neutro
1712,shukllamanta nipapurachi, correspondencia univoca,neutro
1713,shukllayashka, unidad,neutro
1714,shukniki kallari yachay, primer nivel,neutro
1715,shukniki patayay, primer tramo,neutro
1716,shuknipa yuyay, oración unimembre,neutro
1717,shukta charik tantanakuykuna, potencias dominantes,negativo
1718,shuktak, otro,neutro
1719,shuktakkuna, otros,neutro
1720,shuktayachik, caso,neutro
1721,shuktayay, derivados,neutro
1722,shukyachina, fusionar,neutro
1723,shukyachishka, unificado grafía,neutro
1724,shunku, núcleo- corazón,neutro
1725,shunku ruka, dedo del corazón- dedo del medio,neutro
1726,shunku yuyay, idea central,neutro
1727,shunkuna, humildad,positivo
1728,shunkushka, presentimiento,neutro
1729,shunkuyuk, humilde,positivo
1730,shunkuyuyay, intención,neutro
1731,shushuna, filtrar,neutro
1732,shutikuna, nomenclatura,neutro
1733,shutillatak, verdadero a,positivo
1734,shutilli, adjetivo,neutro
1735,shutintak, en verdad,positivo
1736,shutipak rantikuna, pronombres personales,neutro
1737,shutipi, representación,neutro
1738,shutiranti, pronombre,neutro
1739,shutiy, verdad,positivo
1740,shuwana, robar,negativo
1741,shuyay, esperar,negativo
1742,shuyu, imagen- dibujo- gráfico,neutro
1743,shuyu nikichik, ordenador gráfico,neutro
1744,shuyuchik chakata, rosa de los vientos,positivo
1745,shuyutupukamachi, sistema geométrico,neutro
1746,shuyutupukamay, geometría,neutro
1747,shuyutupukamaychi, sistema geométrico,neutro
1748,shuyutupumanya, figura geométrica,neutro
1749,siki, nalga,positivo
1750,siki tullu, coxis,positivo
1751,siki utuku, ano,neutro
1752,siklla, gentil,positivo
1753,sinchi, duro,negativo
1754,sinchi aycha, músculo,positivo
1755,sinchi rumi, solido,negativo
1756,sinchi rumpa, esfera sólida,negativo
1757,sinchi wiru, cilindro sólido,negativo
1758,sinchikay, resistencia,negativo
1759,sinchikuy, esfuerzo,positivo
1760,sinchiruna, valiente,positivo
1761,sinchiyachik, acentuación/ atrevido,negativo
1762,sinchiyachik unancha, signo de exclamación,neutro
1763,sinchiyachiy, atreverse,negativo
1764,sinchiyashka, dureza,negativo
1765,sinchiyay, solidificación,negativo
1766,sinchiyuyana, razon,positivo
1767,sinchiyuyarishka, razonado,positivo
1768,sinka, nariz,neutro
1769,sinka utuku, fosa nasal,neutro
1770,sinkanku, elefante,neutro
1771,sirana, coser,neutro
1772,sirik, horizontal,neutro
1773,sirina, acostar,neutro
1774,sirma, electricidad,positivo
1775,sirpa, traicion,negativo
1776,sirpak, traidor,negativo
1777,sirpashka, traicionado,negativo
1778,sirpay, traicionar,negativo
1779,sisa, flor,neutro
1780,siti, muñeco,neutro
1781,sitwa, julio,neutro
1782,sitwa killa, julio,neutro
1783,suchu, paralítico,negativo
1784,sukta, seis- 6,neutro
1785,sukta chunka, sesenta- 60,neutro
1786,sukta pakta umiña, cubo o exaedro,neutro
1787,sukta patsak, seiscientos- 600,neutro
1788,suktachishka tiksi umiña, poliedro hexagonal,neutro
1789,suktachishka umiña, poliedro hexagonal.,neutro
1790,suku, gris- carrizo,neutro
1791,sulka, parroquia,neutro
1792,kitilli, parroquia,neutro
1793,sumak, bonito- hermoso- bello- rico- excelente,positivo
1794,sumak killka, caligrafía,positivo
1795,sumak kuska, zona- lugar turística,positivo
1796,sumak kuskakamay, turismo,positivo
1797,sumak kuskakuna, lugares turísticos,positivo
1798,sumak napaywan, saludos cordiales,positivo
1799,sumak rimariy, literario,neutro
1800,sumak rimay yachay, literatura,neutro
1801,sumak rimayachak, literato,neutro
1802,sumak rimayachay, literatura,neutro
1803,sumak rimaysami, género literario,neutro
1804,sumak rimaysami, genero literario,neutro
1805,sumak yupay, honra- honor,positivo
1806,sumakillka, caligrafía,positivo
1807,sumakyachik rimay, figura literaria,neutro
1808,sumakyachik yura, planta ornamental,neutro
1809,sumakyachina, respeto- respetuoso,positivo
1810,sumaychana, respetar,positivo
1811,sumaychay, respeto,positivo
1812,suni, longitud,neutro
1813,sunikuchu, ángulo llano o plano,neutro
1814,sunisuytu, regla o regleta,neutro
1815,sunitupu, medida de longitud,neutro
1816,suniwachi, jabalina,neutro
1817,suniyachik kuchu, ángulo suplementario,neutro
1818,suniyak, línea,neutro
1819,sunka, barba,neutro
1820,sunkana, absorber,positivo
1821,sunturpawkar, lanza,neutro
1822,supa, fibracabuyo,neutro
1823,surkuy, sacar,neutro
1824,suytuyashka kullka, prisma rectangular,neutro
1825,suyu, región,neutro
1826,suyu rikuchik iñu, puntos cardinales,neutro
1827,suyuta rikuchik anta, brújula,neutro
1828,taki, música,positivo
1829,takina, cantar,positivo
1830,takina, tocar musica,positivo
1831,takiwayrariy, aeróbico,positivo
1832,takzu, tacso,positivo
1833,tallpa, camisa,neutro
1834,talpa, blusa,neutro
1835,tampu, posta,neutro
1836,tampul, desorden,negativo
1837,tampulyachay, conocimiento desordenado,negativo
1838,tanapay, ayudar- favor,positivo
1839,tantachi unancha, signo de agrupación,positivo
1840,tantachina, agrupar,positivo
1841,tantachipakta, asociativa,positivo
1842,tantachishka, conjunto,positivo
1843,tantachishka tantariy, unión de conjuntos,positivo
1844,tantachishkakunapa kutinchipaktachi, propiedades de la intersección,neutro
1845,tantachishkakunapa sami, clases de conjuntos,neutro
1846,tantachishkakunata paktachiy, complementación de conjuntos,neutro
1847,tantachishkakunata raki, partición de conjuntos,neutro
1848,tantachishkakunata rakiy, partición de conjuntos de conjuntos,neutro
1849,tantachishkakunata tukuyyachi, complementación de conjuntos,neutro
1850,tantachishkamanta anchuchi, diferencia de conjuntos,neutro
1851,tantachishkapa yapaypaktachikuna, propiedades de la unión o adición,neutro
1852,tantachishkata kutinkutinchi, conjunto potencia,neutro
1853,tantachishkata kutinkutinchiy, conjunto potencia,neutro
1854,tantachiy, agrupación- recoger,positivo
1855,tantachiy rurayri, unión de conjuntos,neutro
1856,tantachiy unancha, signo de agrupación,neutro
1857,tantachiyachay, unidad didáctica,neutro
1858,tantallalawsay, reino,positivo
1859,tantalli, panecillo- pan pequeño,negativo
1860,tantanakuy, organización,positivo
1861,tantari yachaypa yupay, número de la unidad,positivo
1862,tantarikillka, acta,positivo
1863,tantariku, subconjunto,negativo
1864,tantarimanta killka, acta,positivo
1865,tantarinakuy, asamblea,positivo
1866,tantariypa niki, orden del día,positivo
1867,tapuk shutiranti, pronombre interrogativo,positivo
1868,tapuk yuyay, oración interrogativa,positivo
1869,tapuy, preguntar,positivo
1870,tapuykutichina, entrevistar,positivo
1871,tapyaruna, mago,positivo
1872,tapyay, embrujar,negativo
1873,tarina, encontrar,positivo
1874,taripana, examen,negativo
1875,taripana, investigar,positivo
1876,taripapuk, juez,positivo
1877,taripay, averiguar,positivo
1878,taripayhapi, descubrir,positivo
1879,taririklla paktachik, complemento circunstancial,neutro
1880,tarpuna, sembrar,positivo
1881,tarpuy, sembrar,positivo
1882,tarpuymirariy, implementación,positivo
1883,taruka, venado,negativo
1884,taslla, elegante,positivo
1885,tatki, minuto,positivo
1886,tatki chumpiku, cinta métrica,positivo
1887,tatkikutinchi, múltiplo del metro,positivo
1888,tatkirakinchi, submúltiplo del metro,positivo
1889,tawa, cuadrado,positivo
1890,tawakunapa puchu, diferencia de cuadrados,positivo
1891,tawantin, precisión,positivo
1892,tawantinsuyu, imperio,negativo
1893,tawasampa, corona grande de plumas de guacamayo,positivo
1894,tawasuyu, puntos cardinales,positivo
1895,tawatatki, metro cuadrado,positivo
1896,tawayashka kullka, prisma cuadrangular,positivo
1897,tawka, mucho- bastante- montón,positivo
1898,tawka kawsay, pluricultural,positivo
1899,tawka kilkanancha kutinchichiy, factorización de polinomios en general,positivo
1900,tawka rikcha kutirik, factor común polinomio,positivo
1901,tawri, chocho,positivo
1902,tay, gol,positivo
1903,kurpa, terrón,positivo
1904,thuka, saliva,positivo
1905,allpa, tierra,positivo
1906,yurak allpa, tierra blanca,positivo
1907,tsala allpa, tierra estéril,positivo
1908,alli allpa, tierra fértil,positivo
1909,yana allpa, tierra negra,positivo
1910,puka allpa, tierra roja,positivo
1911,tikrak shimiki, sílaba inversa,positivo
1912,tikrana, volver,negativo
1913,tikratarpuy, reforestaciòn,negativo
1914,tikray, traducir- convertirse,positivo
1915,tiksi, base o básico,positivo
1916,tiksi yachaykuna, contenidos básicos,positivo
1917,tiksi yuyay, fundamentación,positivo
1918,tiksitupu, unidad de medida fundamental,positivo
1919,tiksiy, fundar,positivo
1920,tiksiyay mutsuykuna, servicios básicos,positivo
1921,tinkina, unir,positivo
1922,tinkirik yuyay, oración coordinada,positivo
1923,tinkuchik, concordancia,positivo
1924,titi, plomo,positivo
1925,titichaska, minerales,positivo
1926,titu, acrobacia,positivo
1927,tituyashka, gimnasia,positivo
1928,tiya mama, tía,positivo
1929,tiyak, existe,positivo
1930,tiyak chanikunata paktachik, balance situacional,positivo
1931,tiyak yupay, número natural,positivo
1932,tiyashkata rikuchik, balance de comprobación,positivo
1933,tiyay, posición,positivo
1934,tiyu yaya, tío,positivo
1935,tsawar, penco,positivo
1936,tsia, huevo de parásito- liendra,negativo
1937,tsiklla, recto,positivo
1938,tsiknina, odiar,negativo
1939,tsini, ortiga,positivo
1940,tsini kuru, larva,negativo
1941,tsunka, sorbete,neutro
1942,tsunkana, chupar,positivo
1943,tukapu, prenda de gala de mujer,positivo
1944,tuku, tronco,positivo
1945,tukuchina, consumir,positivo
1946,tukuchiy, conclusión,positivo
1947,tukuna, disfraz,positivo
1948,tukuraya, generalidades,positivo
1949,tukurik, finito,negativo
1950,tukurik tantachishka, conjunto finito,positivo
1951,tukurina, acabar- terminar,negativo
1952,tukuriy, fin,negativo
1953,tukushka, efecto,negativo
1954,tukuy hillaykuna, aparatos de medición,positivo
1955,tukuy shuti, nombre común,positivo
1956,tukuy yupaychi, números reales,positivo
1957,tukuyllikuna, generalidades,positivo
1958,tukuyta shukllayachik, globalización,positivo
1959,tukuyyashka yupay, número entero,positivo
1960,tukyana, erupcionar,negativo
1961,tukyay, explotar,negativo
1962,tullillak, invertebrado,negativo
1963,tullpu, color,neutro
1964,tullpukuna, colores,neutro
1965,tullpushka, teñido,neutro
1966,tullu, hueso,positivo
1967,tullupaki, fractura,negativo
1968,tulukancha, vivero,neutro
1969,tunkuri, esófago,neutro
1970,tupu, medida,positivo
1971,tupukamaychi, sistema de medida,positivo
1972,tupuna, medir,positivo
1973,tupuy, medida,positivo
1974,turi, hermano harmana a hermano,positivo
1975,turu, lodo,negativo
1976,turuwan makiruray pacha, período formativo,positivo
1977,tushuna, danzar,positivo
1978,tuta, noche,positivo
1979,tuta suyu, oeste,positivo
1980,tutamanta, madrugada,positivo
1981,tutamikuy, cenar,positivo
1982,tutayana, anochecer,positivo
1983,tutura, totora,positivo
1984,uchilla, pequeño,negativo
1985,uchilla killka, letra minúscula,positivo
1986,uchilla tatki, segundo,positivo
1987,uchillakillka, minúscula,positivo
1988,uchillayachishka yuyay, resumen,positivo
1989,uchillayachishka yuyay, resumen,positivo
1990,uchu, ají,positivo
1991,uka, oca,positivo
1992,ukku, cuerpo humano,positivo
1993,ukkukara kuruta, cutáneo,positivo
1994,ukkukuyuchik, extremidad,positivo
1995,ukkukuyurikancha, motricidad,positivo
1996,ukkukuyuykamay, cultura física,positivo
1997,ukkunanchachiy, expresión corporal,positivo
1998,ukkupa kuskaritimuna, chakradel cuerpo humano,positivo
1999,ukkurupay, fiebre,negativo
2000,ukkuskayku, aparato,positivo
2001,ukkuyawri, órgano,positivo
2002,ukllana, abrazar,positivo
2003,ukllay, abrazar,positivo
2004,uksha, paja,positivo
2005,uku, dentro,positivo
2006,uku kushma, camiseta,positivo
2007,ukucha, ratón,positivo
2008,ukumari, oso,positivo
2009,ukunpuray, interrelación,positivo
2010,ukururu, berro,positivo
2011,ukuyashka, cóncavo,positivo
2012,ulku, macho animales,positivo
2013,ullu, pene,positivo
2014,uma, cabeza,positivo
2015,uma ruka, dedo de la cabeza- anular,neutro
2016,uma tullu, cráneo,neutro
2017,umachi, engaño,negativo
2018,umachik, traidor- engañador,negativo
2019,umachiy, engañar,negativo
2020,umachuku, visera,negativo
2021,umamuskuy, fantasia,positivo
2022,umayarina, senso percepción,negativo
2023,umayuyana, imaginar,positivo
2024,umayuyay, imaginacion,positivo
2025,umiña, cubo o exaedro,positivo
2026,umiñakunapa yapa-puchu, suma o diferencia de cubos perfectos,positivo
2027,umiñatatki, metro cúbico,positivo
2028,umutu, enano,negativo
2029,unaka, caramelo,positivo
2030,unanchashkata pakta rikuchik, sistema de numeración decimal,positivo
2031,unanchay, notación,positivo
2032,unayay, tardar,negativo
2033,unaypi shamuna pacha, futuro mediato,positivo
2034,unkuk, enfermo,negativo
2035,upa, mudo,negativo
2036,uphiyana, beber,negativo
2037,uray, abajo,negativo
2038,uray suyu, norte,positivo
2039,uraykuy, bajar,negativo
2040,urmana, caer,negativo
2041,urna ñutuku, cerebro,positivo
2042,urpi, tórtola,positivo
2043,uru, araña,negativo
2044,usa, piojo,negativo
2045,usaysapa kuskakuna, lugares con poderes,positivo
2046,ushay, poder,positivo
2047,ritimuna, energía,positivo
2048,ushaykamakunapash, poderes,positivo
2049,ushi, hija,positivo
2050,ushina, adquirir,positivo
2051,ushu, burro,neutro
2052,ushuhama, nieta,positivo
2053,ushuta, alpargates,positivo
2054,utik, loco,negativo
2055,utikay, locura,negativo
2056,utka, rapido,positivo
2057,utkachiy, abreviar- hacer breve,positivo
2058,utku, hueco,neutro
2059,uyakuy, obedecer,positivo
2060,uyana, oír,positivo
2061,uyana, escuchar,positivo
2062,uyantin, consonante,positivo
2063,uyarichay, poner atencion,positivo
2064,uyarik, sonido,positivo
2065,uyarikancha yachay, fonología,positivo
2066,uyarikuy, ruido- bulla,negativo
2067,uyaywa, vocal,positivo
2068,uyaywak, sonido,positivo
2069,uyaywakancha yachay, fonología,positivo
2070,unanchikrimay, voz,positivo
2071,wacha, sábado,positivo
2072,wacha puncha, sábado,positivo
2073,wachana, nacer,positivo
2074,wachariy, nacimiento,positivo
2075,wachi, vector o rayo,positivo
2076,wachuchiy, verso,positivo
2077,waka, sagrado,positivo
2078,waka kuskakuna, lugares sagrados,positivo
2079,wakana, llorar,negativo
2080,wakarapuku, cuerno musical instrumento de viento hecho con un cuerno y que sirve a forma de trompeta,positivo
2081,wakayachina, conservar,positivo
2082,wakaychina, guardar,positivo
2083,wakcha, pobre,negativo
2084,wakchi, flecha- lanza- saeta- dardo,positivo
2085,waki, sociedad,positivo
2086,waki kawsaymantawankuri, organización socio cultural,positivo
2087,wakichina, preservar,positivo
2088,wakikamay, sociología,positivo
2089,wakimpi, alguna vez,positivo
2090,wakin, alguno,positivo
2091,wakiy, compartir,positivo
2092,waklishka, dañado- podrido,negativo
2093,waklli, crisis,negativo
2094,wakllichik, deterioro,negativo
2095,wakllichina, agravio- dañar,negativo
2096,wakra, ganado,positivo
2097,waksa, lagartija ,neutro
2098,waksi, gas,positivo
2099,waksisapa, gaseoso,positivo
2100,waktana, golpe,positivo
2101,waktanakuy, luchar,positivo
2102,walaku, rana comestible,positivo
2103,walinyana, balancear,positivo
2104,wallinku, conejo,positivo
2105,wallka, collar,positivo
2106,wallpa, forma- formación,positivo
2107,wallpachi yuyay, teoría creacionista,positivo
2107,wallpana, crear- inventar,positivo
2109,wallpari, invento- creación,positivo
2110,wallpay, estructura,positivo
2111,wallpaykamay, filosofía,positivo
2112,walpana, crear- inventar,positivo
2113,waltaku, pantalón de tela,positivo
2114,waman, gavilán,neutro
2115,wamintsi, rosado,positivo
2116,wampra, joven- adolescente varón,positivo
2117,wampuk, barco- lancha,positivo
2118,wampuk rikutirikancha, puerto marítimo,positivo
2119,wampulli, bote- canoa- velero- barca pequeña,positivo
2120,wampuna, nadar,positivo
2121,wampuy, natación,positivo
2122,wampuypi shuwakkuna, piratas- corsario,positivo
2123,wamra, púber,positivo
2124,wanachiy, castigar,negativo
2125,wanchiy, matar,negativo
2126,wankuri, organización,positivo
2127,wantu, floripondio,neutro
2128,wanu, fertilizante natural,neutro
2129,wanyari, evaporación,positivo
2130,wara, pantalón de lana,positivo
2131,warakay, lanzamiento,positivo
2132,waranka, mil- 1000,positivo
2133,waranka piti, tanto por mil,positivo
2134,warankakri, milésimo,positivo
2135,warankaku, kilogramo,positivo
2136,warankawataychi, milenio,positivo
2137,waricha, prostituta,negativo
2138,warichakay, prostitucion,negativo
2139,warichariy, locura,negativo
2140,warmi, mujer- esposa,positivo
2141,warmi wara, blusa,positivo
2142,warmipurakuyay, lesbianismo,neutro
2143,warunruk, astro,positivo
2144,washa, espalda,positivo
2145,washa tullu, columna vertebral- espinazo,positivo
2146,washa tullu ñutuku, médula espinal,positivo
2147,washa ñutuku, cerebelo,positivo
2148,washarimay, murmuración- crítica,positivo
2149,washatarimay, murmurar,positivo
2150,wasi, casa,positivo
2151,wasi allpa rantimanta, bienes y raíces,positivo
2152,wasiruraykamay, arquitectura,positivo
2153,waska, soga,positivo
2154,waskariklla, ritmo,positivo
2155,wasra, vino,positivo
2156,wata, año,positivo
2157,watapacha, calendario,positivo
2158,watay wasi, prisión,negativo
2159,watayuk, edad,positivo
2160,watu, cadena,positivo
2161,watuchina, adivinar,positivo
2162,wawa, niño,positivo
2163,wawa chumpi, faja-delgada,positivo
2164,wawa kullki kamachik, regla de interés simple,positivo
2165,wawa mama, placenta,positivo
2166,wawa ruka, dedo meñique,positivo
2167,wawakay, niñez,positivo
2168,wawakullki, interés,positivo
2169,wawchiy, influencia,positivo
2170,wawki, hermano entre hermanos,positivo
2171,wawkikay, hermandad entre hombres,positivo
2172,wayay, oxígeno,positivo
2173,waychi, plomo,positivo
2174,wayku, quebrada- barranco,negativo
2175,waykuhaskancha, relieve,positivo
2176,waykukaskancha, relieve,positivo
2177,waylla, verde,positivo
2178,wayllamkay, obrajes,positivo
2179,waylluy, ternura,positivo
2180,wayna, joven- amante,positivo
2181,wayra, aire- viento,positivo
2182,wayrakata, atmósfera,positivo
2183,wayrayay, volatilidad,positivo
2184,wayru, octubre,positivo
2185,wayru killa, octubre,positivo
2186,wayta, clavel,positivo
2187,wañuna, morir,negativo
2188,wañuy, muerte,negativo
2189,wañuykamachiy, ley de inquisición,negativo
2190,wichay, subida- cuesta,negativo
2191,wichay suyu, sur,positivo
2192,wichayana, ascender,positivo
2193,wichisuni, alto,positivo
2194,wichkachik, paréntesis,positivo
2195,wichkak chupa, comilla,positivo
2196,wichkak chupa, comilla,positivo
2197,wichkashka, encerrado,negativo
2198,wika, escremento,negativo
2199,wikar, cintura,positivo
2200,wiki, lágrima,negativo
2201,wikka mayu, sumo saserdote-.shyry,neutro
2202,wiksa, barriga- vientre,positivo
2203,wikuriy, flexibilidad,positivo
2204,wilka, ritos,positivo
2205,wilkana, rito,positivo
2206,wilkana, adorar- venerar,positivo
2207,wilkay, sagrado,positivo
2208,willachik, noticia,positivo
2209,willak hillay, medio de comunicación,positivo
2210,willak pirka, periódico mural,positivo
2211,willak yuyay, oración enunciativa,positivo
2212,willakpirka, periódico mural,positivo
2213,willana, avisar- informar,positivo
2214,willayhillay, medio de comunicación,positivo
2215,willaykancha, medios de comunicación,positivo
2216,williku, espermatozoide,positivo
2217,wilyay, llamarada,negativo
2218,winkuchikkuna, paréntesis,positivo
2219,winkuk, llaves,positivo
2220,wirakucha, rubicundo- pelirojo- rubio,positivo
2221,wisiyay, crema,positivo
2222,wisnu, materia,positivo
2223,wisya, crema,positivo
2224,witikwitik, tambalear,positivo
2225,witsyayay, subirse,positivo
2226,wiwakamay, ganadería,positivo
2227,wiwakuna, animales,neutro
2228,wiwika, oveja,positivo
2229,wiwika, oveja,positivo
2230,wiña, generación,positivo
2231,wiñachina, criar,positivo
2232,wiñachishka shimi, neologismo,positivo
2233,wiñakukllachak, almácigos,positivo
2234,wiñana, crecer,positivo
2235,wiñari, desarrollo,positivo
2236,wiñarikpukyu, fuente- vertiente,positivo
2237,wiñarina, desarrollar,positivo
2238,wiñay, siempre,positivo
2239,wiñay kawsay kallaripi rurayta kamay, arqueología,positivo
2240,wiñay kawsaykallaripi ruraytakamay, arqueología,positivo
2241,wiñaykawsay, historia,positivo
2242,wiñaykawsay imakuna, hechos históricos,positivo
2243,wiñaykawsay kallariy, prehistoria,positivo
2244,wiñaykaysay kallari, inicio de la historia prehistoria,positivo
2245,yachakuna, aprender,positivo
2246,yachana, saber,positivo
2247,yachana wasi, escuela,positivo
2248,yachapayay, dramatización,positivo
2249,yachapayay, dramatización,positivo
2250,yachariy, estar acostumbrado,positivo
2251,yachay, ciencia- educación,positivo
